std_id,acres,description
15598_410,11.86,Natural Loblolly Pine Forest
15598_411,8.59,Nontimbered
15598_412,3.82,Nontimbered
15598_413,2.35,Nontimbered
15598_414,0.89,Nontimbered
15598_415,138.84,Planted Loblolly Pine Forest
15598_416,4.64,Nontimbered
15598_417,2.11,Nontimbered
15598_418,42.17,Nontimbered
15598_419,6.93,Natural Loblolly Pine Forest
15598_420,7.73,Nontimbered
15598_421,16.62,Natural Longleaf Pine Forest
15598_422,11.74,Nontimbered
15598_423,80.33,Natural Longleaf Pine Forest
15598_424,4.63,Nontimbered
15598_425,0.6,Nontimbered
15598_425,58.59,Mesic Hardwood Forest
15598_426,10.83,Nontimbered
15598_427,5.55,Nontimbered
15598_428,5.72,Mesic Hardwood Forest
15598_429,24.25,Upland Hardwood Forest
15598_430,22.74,Natural Longleaf Pine Forest
15598_431,46.32,Natural Loblolly Pine Forest
15598_432,2.35,Nontimbered
15598_433,3.84,Nontimbered
15598_434,23.37,Natural Loblolly Pine Forest
15598_435,14.04,Natural Loblolly Pine Forest
15598_436,46.32,Natural Longleaf Pine Forest
15598_437,39.81,Natural Loblolly Pine Forest
15598_438,28.95,Natural Loblolly Pine Forest
15598_439,2.81,Nontimbered
15598_441,7.26,Natural Longleaf Pine Forest
15598_442,39.59,Planted Loblolly Pine Forest
15598_443,2.78,Nontimbered
15598_443,15.06,Natural Longleaf Pine Forest
15598_444,7.32,Nontimbered
15599_445,33.83,Planted/Naturalized Sand Pine Forest
15599_446,21.88,Planted/Naturalized Sand Pine Forest
15599_447,32.89,"Non-Forest, Plantable"
15599_448,12.42,Planted/Naturalized Sand Pine Forest
15599_449,2.08,Planted Loblolly Pine Forest
15599_450,15.89,Nontimbered
15599_450,79.02,Natural Loblolly Pine Forest
15599_451,70.5,Upland Hardwood Forest
15599_452,16.31,Nontimbered
15599_453,4.43,Nontimbered
15599_454,2.63,Nontimbered
15599_455,1.38,Nontimbered
15599_455,44.94,Mesic Hardwood Forest
15599_456,4.24,Upland Hardwood Forest
15599_457,37.16,Upland Hardwood Forest
15599_458,6.1,Mesic Hardwood Forest
15599_459,14.66,Nontimbered
15599_460,22.48,Natural Loblolly Pine Forest
15599_461,13.8,Mesic Hardwood Forest
15599_462,30.3,Natural Loblolly Pine Forest
15599_463,20.68,Natural Loblolly Pine Forest
15599_464,5.22,Nontimbered
15599_465,2.01,Nontimbered
15599_466,1.82,Nontimbered
15599_467,2.71,Nontimbered
15599_468,93.83,Upland Hardwood Forest
15599_469,2.85,Nontimbered
15599_469,6.5,Natural Loblolly Pine Forest
15599_470,11.33,Mesic Hardwood Forest
15599_471,19.53,Natural Loblolly Pine Forest
15599_472,2.1,Nontimbered
15599_473,37.65,Natural Longleaf Pine Forest
15599_474,2.44,Nontimbered
15599_475,17,Nontimbered
15599_476,31.31,Natural Longleaf Pine Forest
15599_477,2.49,Nontimbered
15599_478,6.41,Natural Longleaf Pine Forest
15599_479,50.48,Planted Slash Pine Forest
15599_480,36.04,Nontimbered
15599_481,30.6,Natural Longleaf Pine Forest
15599_482,19.36,Natural Longleaf Pine Forest
15599_483,2.8,Nontimbered
15599_484,4.07,Planted/Naturalized Sand Pine Forest
15599_485,2.69,Nontimbered
15599_486,5.04,Nontimbered
15599_487,13.71,Planted Slash Pine Forest
15599_488,1.91,Nontimbered
15599_489,4.54,Nontimbered
15599_490,24.21,Nontimbered
15599_491,34.15,Upland Hardwood Forest
15599_492,43.89,Natural Longleaf Pine Forest
15599_493,9.31,Nontimbered
15599_494,3.67,Nontimbered
15599_495,5.61,Planted/Naturalized Sand Pine Forest
15599_496,10.91,Upland Hardwood Forest
15599_497,2.94,Nontimbered
15599_498,18.37,Natural Longleaf Pine Forest
15599_499,13.15,Upland Hardwood Forest
15599_500,19.65,Natural Longleaf Pine Forest
15599_501,26.9,Natural Longleaf Pine Forest
15599_502,32.17,Upland Hardwood Forest
15599_503,26.16,Upland Hardwood Forest
15599_504,1.22,Nontimbered
15599_505,8.03,Nontimbered
15599_506,31.62,Mesic Hardwood Forest
15599_506,4.87,Mesic Hardwood Forest
15599_506,3.98,Mesic Hardwood Forest
15599_506,13.05,Mesic Hardwood Forest
15599_506,9.87,Mesic Hardwood Forest
15599_506,9.99,Mesic Hardwood Forest
15599_506,0.55,Mesic Hardwood Forest
15599_507,2.03,Natural Longleaf Pine Forest
15599_508,14.56,Nontimbered
15599_509,11.94,Natural Loblolly Pine Forest
15600_510,2.25,Nontimbered
15600_511,2.04,Natural Loblolly Pine Forest
15600_512,89.87,Planted Longleaf Pine Forest
15600_513,1.86,Upland Hardwood Forest
15600_514,0.82,Nontimbered
15601_514,54.57,Planted Loblolly Pine Forest
15601_515,13.67,Natural Loblolly Pine Forest
15601_516,10.11,Nontimbered
15601_517,8.64,Nontimbered
15601_518,3.77,Nontimbered
15601_519,2.25,Nontimbered
15602_519,46.06,Natural Loblolly Pine Forest
15602_520,29.02,Mesic Hardwood Forest
15602_521,2.91,Upland Hardwood Forest
15602_522,13.02,Upland Hardwood Forest
15602_523,3.87,Natural Loblolly Pine Forest
15603_523,70.54,Planted Loblolly Pine Forest
15603_524,4.29,Upland Hardwood Forest
15603_525,5.18,Mesic Hardwood Forest
15603_526,55.95,Planted Loblolly Pine Forest
15603_527,0.48,Nontimbered
15603_527,11.23,Natural Loblolly Pine Forest
15603_528,2.49,Natural Loblolly Pine Forest
15603_529,1.58,Natural Loblolly Pine Forest
15603_530,3.39,Mesic Hardwood Forest
15603_531,6.3,Planted Loblolly Pine Forest
15603_532,25.56,Planted Loblolly Pine Forest
15603_533,52.18,Natural Loblolly Pine Forest
15603_534,20.44,Natural Loblolly Pine Forest
15603_535,19.12,Natural Loblolly Pine Forest
15603_536,83,Planted Loblolly Pine Forest
15603_537,49.08,Planted Loblolly Pine Forest
15603_538,51.93,Planted Loblolly Pine Forest
15603_539,21.25,Planted Loblolly Pine Forest
15603_540,50.38,Planted Loblolly Pine Forest
15603_541,63.75,Planted Loblolly Pine Forest
15603_542,19.19,Planted Loblolly Pine Forest
15603_543,42.52,Planted Loblolly Pine Forest
15603_544,26.24,Planted Loblolly Pine Forest
15603_545,5.88,Natural Loblolly Pine Forest
15603_546,7.96,Planted Loblolly Pine Forest
15603_547,19.31,Planted Loblolly Pine Forest
15603_548,4.83,Natural Loblolly Pine Forest
15604_549,25.97,Natural Longleaf Pine Forest
15604_550,16.4,"Non-Forest, Plantable"
15604_551,5.87,Natural Longleaf Pine Forest
15605_552,1.79,Upland Hardwood Forest
15605_553,1.19,Upland Hardwood Forest
15605_554,20.75,Natural Loblolly Pine Forest
15605_555,0.52,Nontimbered
15605_556,1.62,Upland Hardwood Forest
15605_557,3.24,Nontimbered
15605_557,6.46,Natural Loblolly Pine Forest
15605_558,2.77,Upland Hardwood Forest
15605_559,74.76,Planted Loblolly Pine Forest
15605_560,4.43,Mesic Hardwood Forest
15605_561,5.22,Planted/Naturalized Sand Pine Forest
15606_563,62.42,Planted Loblolly Pine Forest
15606_564,71.34,Planted Loblolly Pine Forest
15606_565,26.58,Planted Loblolly Pine Forest
15606_566,44.89,Planted Loblolly Pine Forest
15606_567,14.07,Mesic Hardwood Forest
15606_568,21.88,Planted Loblolly Pine Forest
15606_569,13.73,Mesic Hardwood Forest
15606_572,6.96,Nontimbered
15606_573,4.05,Planted Loblolly Pine Forest
15606_574,17.63,Natural Loblolly Pine Forest
15606_575,68.93,Natural Loblolly Pine Forest
15606_577,19.96,Planted Loblolly Pine Forest
15606_578,10.99,Nontimbered
15606_579,16.72,Planted Loblolly Pine Forest
15607_580,103.62,Planted Loblolly Pine Forest
15607_581,11.01,Planted Loblolly Pine Forest
15607_582,5.13,Natural Loblolly Pine Forest
15607_583,1.97,Natural Loblolly Pine Forest
15607_584,0.66,Nontimbered
15607_584,2.27,Nontimbered
15607_584,6.34,Nontimbered
15607_584,237.18,Mesic Hardwood Forest
15607_585,0.74,Nontimbered
15607_586,0.37,Nontimbered
15607_587,0.45,Nontimbered
15607_588,0.66,Nontimbered
15607_589,1.33,Nontimbered
15607_590,1.82,Nontimbered
15607_591,54.8,Planted Loblolly Pine Forest
15607_592,38.96,Planted Loblolly Pine Forest
15607_593,36.32,Planted Loblolly Pine Forest
15607_595,47.86,Planted Loblolly Pine Forest
15607_596,77.55,Planted Loblolly Pine Forest
15607_597,2.76,Mesic Hardwood Forest
15608_598,16.05,Natural Loblolly Pine Forest
15608_599,4.42,Upland Hardwood Forest
15608_600,1.53,Upland Hardwood Forest
15608_601,27.48,Upland Hardwood Forest
15608_602,7.1,Upland Hardwood Forest
15608_603,4.31,Upland Hardwood Forest
15608_604,0.43,Nontimbered
15608_605,2.39,Nontimbered
15608_606,3.37,Nontimbered
15608_607,3.61,Nontimbered
15608_608,0.52,Nontimbered
15608_609,3.23,Nontimbered
15608_610,7.58,Nontimbered
15608_611,9.64,Nontimbered
15608_612,13.67,Natural Loblolly Pine Forest
15608_613,14.32,Mesic Hardwood Forest
15609_612,236.04,Loblolly Pine Forest underplanted with Longleaf
15609_613,31.18,"Non-Forest, Plantable"
15609_614,6.33,Planted Slash Pine Forest
15609_615,51.91,Planted Loblolly Pine Forest
15609_616,38.43,Mesic Hardwood Forest
15609_617,73.18,Planted Longleaf Pine Forest
15609_618,22.99,Planted Longleaf Pine Forest
15609_619,83.59,Planted Loblolly Pine Forest
15609_620,103.93,Planted Loblolly Pine Forest
15609_621,11.04,Planted Loblolly Pine Forest
15609_622,2.88,Nontimbered
15609_623,2.5,Nontimbered
15609_624,31.45,Natural Loblolly Pine Forest
15609_625,1.84,Nontimbered
15609_626,158.83,Planted Longleaf Pine Forest
15609_627,7.64,Planted Loblolly Pine Forest
15609_628,5.14,Planted Loblolly Pine Forest
15609_629,15.09,Planted Slash Pine Forest
15609_630,2.73,Mesic Hardwood Forest
15609_631,99.7,Mesic Hardwood Forest
15609_632,25.51,Planted Loblolly Pine Forest
15609_633,25.75,Planted Loblolly Pine Forest
15609_634,17.85,Loblolly Pine Forest underplanted with Longleaf
15609_635,0.94,Nontimbered
15609_636,0.81,Nontimbered
15609_637,0.62,Nontimbered
15609_638,111.35,Mesic Hardwood Forest
15609_639,6.01,Planted Longleaf Pine Forest
15609_640,30.59,"Non-Forest, Plantable"
15609_641,39.8,Planted Loblolly Pine Forest
15609_642,8.74,Planted Loblolly Pine Forest
15609_643,22.94,Planted Longleaf Pine Forest
15609_644,94.59,Planted Loblolly Pine Forest
15609_645,127.3,Planted Longleaf Pine Forest
